spec,term,estimate,std_error,p_value,N,sig
T4 orders_per_hour DID,After:Treat,0.0313635067198233,0.00939187198334854,0.000842295715739416,12813,***
T4 orders_per_hour DDD,After:Treat:prof_low,0.0153430367731752,0.01883287503311,0.415264952901221,12813,""
T4 orders_per_hour DDD,After:Treat:prof_med,0.0588934961773258,0.0150642061045707,9.30436543314343e-05,12813,***
T4 orders_per_hour DDD,After:Treat:prof_high,0.0110624731880041,0.0124378280586705,0.37379600620287,12813,""
T6 total_shift (n_stacks) DID,After:Treat,-0.00469832131384079,0.0248705323292359,0.850165928916897,12813,""
T6 total_shift (n_stacks) DDD,After:Treat:prof_low,0.0252199740496061,0.0483956824376553,0.602293453386952,12813,""
T6 total_shift (n_stacks) DDD,After:Treat:prof_med,-0.0138125317219475,0.0408609624657423,0.735341496669604,12813,""
T6 total_shift (n_stacks) DDD,After:Treat:prof_high,-0.0165511677617741,0.0381393027442169,0.664321518323225,12813,""
T6 total_orders DID,After:Treat,0.0482342338790541,0.0282903035477712,0.0882275257595518,12813,*
T6 total_orders DDD,After:Treat:prof_low,0.0825222598642524,0.0564163847802396,0.143568323657792,12813,""
T6 total_orders DDD,After:Treat:prof_med,0.0284108688778799,0.0454300635214069,0.531737337643677,12813,""
T6 total_orders DDD,After:Treat:prof_high,0.0402521357447479,0.0445744307680938,0.36652873195962,12813,""
T6 total_fee (earnings) DID,After:Treat,0.0439393852638838,0.0376636563431954,0.244191411007996,12813,""
T6 total_fee (earnings) DDD,After:Treat:prof_low,0.0741628319089856,0.0862429380053724,0.390442966531262,12813,""
T6 total_fee (earnings) DDD,After:Treat:prof_med,0.0258930955439713,0.0595151796606741,0.66379388221195,12813,""
T6 total_fee (earnings) DDD,After:Treat:prof_high,0.0381281655238085,0.0528214191227236,0.470901585645655,12813,""
T6 total_labor (hours) DID,After:Treat,0.0168707271592309,0.029402640410158,0.566126582391888,12813,""
T6 total_labor (hours) DDD,After:Treat:prof_low,0.0671792230910772,0.0612392490344503,0.272667102599375,12813,""
T6 total_labor (hours) DDD,After:Treat:prof_med,-0.030482627299446,0.0480216055196906,0.525592293552694,12813,""
T6 total_labor (hours) DDD,After:Treat:prof_high,0.0291896625567438,0.0427541911152103,0.494790481935599,12813,""
T5 num_orders DID,After:Treat,0.0328360752153487,0.00968557490814629,0.000698602826931405,139201,***
T5 num_orders DDD,After:Treat:prof_low,0.0240890523276315,0.014375421937232,0.0937970972375146,139201,*
T5 num_orders DDD,After:Treat:prof_med,0.0282207109791449,0.0136741695279091,0.0390388370282374,139201,**
T5 num_orders DDD,After:Treat:prof_high,0.0410477155307373,0.0183587262013204,0.0253619236274372,139201,**
T5 total_duration DID,After:Treat,0.0185876627774391,0.00906407709386274,0.0402984974517501,139201,**
T5 total_duration DDD,After:Treat:prof_low,0.0234785262365537,0.0133051405785823,0.0776297616791643,139201,*
T5 total_duration DDD,After:Treat:prof_med,-0.000714827815813593,0.0132593199531995,0.957005873691325,139201,""
T5 total_duration DDD,After:Treat:prof_high,0.036063894605116,0.0169648560110004,0.0335216785448681,139201,**
T5 avg_duration_orders DID,After:Treat,-0.0142484124379095,0.00413728695032237,0.000573553796871865,139201,***
T5 avg_duration_orders DDD,After:Treat:prof_low,-0.000610526091078115,0.00810824063912756,0.939978528370069,139201,""
T5 avg_duration_orders DDD,After:Treat:prof_med,-0.0289355387949584,0.00678822221457212,2.02188357239272e-05,139201,***
T5 avg_duration_orders DDD,After:Treat:prof_high,-0.00498382092562136,0.0061819094259887,0.420132148981521,139201,""
T5 idle_btw_shifts DID,After:Treat,-0.0221819800875736,0.0204887855840122,0.278970501602409,116291,""
T5 idle_btw_shifts DDD,After:Treat:prof_low,0.0844531541690422,0.0374892200857454,0.0242779596764222,116291,**
T5 idle_btw_shifts DDD,After:Treat:prof_med,-0.0874326971574803,0.0338158180051935,0.00972342838927962,116291,***
T5 idle_btw_shifts DDD,After:Treat:prof_high,-0.0106900761951011,0.0340624616598955,0.753645070049028,116291,""
T7 shift-all avg_waiting DID,After:Treat,-0.00485101952811162,0.00419042487854597,0.247011461881745,136921,""
T7 shift-all avg_waiting DDD,After:Treat:prof_low,0.000584994381471454,0.00750176666367185,0.937843376208854,136921,""
T7 shift-all avg_waiting DDD,After:Treat:prof_med,-0.0183481466835995,0.00686925312599616,0.00756225292431181,136921,***
T7 shift-all avg_waiting DDD,After:Treat:prof_high,0.00726542617098473,0.00697527670351295,0.29760050071301,136921,""
T7 shift-single avg_waiting DID,After:Treat,-0.0191230980428893,0.00563075643319333,0.000683727637874779,66887,***
T7 shift-single avg_waiting DDD,After:Treat:prof_low,-0.0043404508001228,0.00962079032261597,0.651880609877449,66887,""
T7 shift-single avg_waiting DDD,After:Treat:prof_med,-0.0309372929339234,0.00899088380875114,0.000580013754476698,66887,***
T7 shift-single avg_waiting DDD,After:Treat:prof_high,-0.0135015681671456,0.0101332349563088,0.182731971778789,66887,""
T7 shift-stacked avg_waiting DID,After:Treat,0.00253559400803142,0.00429785988637417,0.555214965191402,70034,""
T7 shift-stacked avg_waiting DDD,After:Treat:prof_low,0.00256434851625788,0.00936990594363581,0.784331981415762,70034,""
T7 shift-stacked avg_waiting DDD,After:Treat:prof_med,-0.00884785155653037,0.00678931530227945,0.192510100910292,70034,""
T7 shift-stacked avg_waiting DDD,After:Treat:prof_high,0.0127394748063119,0.00653892686338904,0.051388967591377,70034,*
