term,estimate,se,p_value,week_index,week_label
Treat:wb5,-0.0217997884495996,0.0986359788671309,0.825217311651285,-5,wb5
Treat:wb4,-0.0293065788218892,0.0918992837033015,0.750001934857201,-4,wb4
Treat:wb3,0.0808659930425093,0.0808468402608784,0.317917806978433,-3,wb3
Treat:wb2,0.0575480761425957,0.074601417030106,0.44100933220589,-2,wb2
Treat:wb1,0,,,-1,wb1 (ref)
Treat:w1,0.100875341062413,0.0763484644766955,0.187320015559259,1,w1
Treat:w2,0.0813817818931933,0.0842372909255225,0.334690253147147,2,w2
Treat:w3,0.0782319889277127,0.0748453138975131,0.296661527082673,3,w3
Treat:w4,0.257130101845738,0.0842593536994623,0.00245770840891681,4,w4
Treat:w5,0.32380662457387,0.0893903863067473,0.000337101994148726,5,w5
