term,group,estimate,se,p_value,week_index
Treat:wb5,High-proficiency,-0.0446952866393047,0.172425452165368,0.795945093340951,-5
Treat:wb4,High-proficiency,-0.114996402528572,0.148637710216429,0.440756446501482,-4
Treat:wb3,High-proficiency,0.0294855380771657,0.125824801093075,0.815150397248473,-3
Treat:wb2,High-proficiency,0.140499144424221,0.117454348464574,0.234143907520208,-2
Treat:w1,High-proficiency,0.140318201143408,0.134904698226375,0.300520446849998,1
Treat:w2,High-proficiency,-0.135132813247848,0.15288094348996,0.378638925049091,2
Treat:w3,High-proficiency,0.0521660091262103,0.140793384613649,0.711698883496149,3
Treat:w4,High-proficiency,0.244378324947988,0.134800889751199,0.072528179680358,4
Treat:w5,High-proficiency,0.207549581527007,0.186561289936257,0.26830506367508,5
Treat:wb5,Low-proficiency,0.0155939745009109,0.170173873696174,0.927155812068336,-5
Treat:wb4,Low-proficiency,-0.312616960493197,0.135672981947714,0.0231072178356172,-4
Treat:wb3,Low-proficiency,-0.0727572034661081,0.135059235132832,0.591188325582924,-3
Treat:wb2,Low-proficiency,-0.122423926507978,0.143808415292249,0.396469780782479,-2
Treat:w1,Low-proficiency,0.018555026914862,0.107950651550141,0.863847172020469,1
Treat:w2,Low-proficiency,-0.167173121612062,0.138348640026703,0.229528905905839,2
Treat:w3,Low-proficiency,-0.0604495929337925,0.118135376622024,0.609897746695072,3
Treat:w4,Low-proficiency,0.0147944323542423,0.180265473888903,0.934741368134881,4
Treat:w5,Low-proficiency,0.0744129929710475,0.171198667451943,0.664669467637488,5
Treat:wb5,Medium-proficiency,0.0312412535969757,0.157058166827488,0.842689744936932,-5
Treat:wb4,Medium-proficiency,0.0756421333885388,0.16579825223166,0.64910806413899,-4
Treat:wb3,Medium-proficiency,0.189557679397665,0.16291167826675,0.247074828089292,-3
Treat:wb2,Medium-proficiency,-0.0115239586415637,0.122485388006284,0.92521025789027,-2
Treat:w1,Medium-proficiency,0.110998677565899,0.151619795220481,0.465645460204673,1
Treat:w2,Medium-proficiency,0.400376342395454,0.134770425182774,0.0036352393575195,2
Treat:w3,Medium-proficiency,0.12131803287357,0.15994453670074,0.449744539682351,3
Treat:w4,Medium-proficiency,0.460237973739129,0.166684474982953,0.00673278057022051,4
Treat:w5,Medium-proficiency,0.439936896603931,0.130075613178853,0.000991322432406493,5
